DESCRIPTION,DAY,MONTH,YEAR,TOD,DOW,ADDRESS,LATITUDE,LONGITUDE
Traffic,1,1,2010,5,6,100 S 600 E ,40.7666722,-111.87399340000002
Traffic,1,1,2010,5,6,200 W 200 S ,40.7651065,-111.89717749999998
Traffic,1,1,2010,5,6,500 W 100 S ,40.7675403,-111.905548
Traffic,1,1,2010,5,6,200 W 500 S ,40.75847260000001,-111.8968085
Traffic,1,1,2010,5,6,1000 E 1700 S ,40.7335056,-111.8624645
Traffic,1,1,2010,5,6,300 E 600 S ,40.7557514,-111.8816964
Homicide,1,1,2010,5,6,400 N REDWOOD RD ,40.7782602,-111.938851
Assault,1,1,2010,5,6,700 S STATE ST ,40.753716,-111.887661
Assault,1,1,2010,5,6,300 N J ST ,40.734764,-111.8825175
Drugs,1,1,2010,5,6,2100 S MAIN ST ,40.715305,-111.891442
Assault,1,1,2010,5,6,300 N C ST ,40.7607793,-111.89104740000002
Burglary/ Larceny/ Robbery,1,1,2010,5,6,100 W 600 S ,40.7562945,-111.89396399999998
Burglary/ Larceny/ Robbery,1,1,2010,5,6,1400 S CHEYENNE ST ,40.7389586,-111.93452659999998
Assault,1,1,2010,5,6,900 W MONTAGUE AVE ,40.749661,-111.917437
Burglary/ Larceny/ Robbery,1,1,2010,5,6,500 E 1ST AVE ,40.7705416,-111.8745294
Assault,1,1,2010,5,6,500 S 700 E ,40.7584937,-111.8711584
Damaged Property,1,1,2010,5,6,200 N 200 W ,40.7781149,-111.896592
Assault,1,1,2010,5,6,2400 S 500 E ,40.7185177,-111.8768591
Assault,1,1,2010,5,6,1400 S 400 E ,40.7392778,-111.8800247
Assault,1,1,2010,5,6,1300 W 800 S ,40.7522669,-111.927994
Traffic,1,1,2010,5,6,1900 W ZACHARY DR ,40.7856117,-111.9461287
Traffic,1,1,2010,5,6,1300 S 300 W ,40.7412999,-111.8998243
Traffic,1,1,2010,5,6,1300 S 700 W ,40.7415313,-111.9110876
Traffic,1,1,2010,5,6,1100 E BRICKYARD RD ,40.7015898,-111.8597243
Burglary/ Larceny/ Robbery,1,1,2010,5,6,1000 W MACFARLAND DR ,40.7873751,-111.9200899
Burglary/ Larceny/ Robbery,1,1,2010,5,6,800 W 1600 N ,40.802382,-111.9149244
Assault,1,1,2010,5,6,2300 S 600 E ,40.7206523,-111.8742434
Damaged Property,1,1,2010,5,6,1700 S MAIN ST ,40.7334886,-111.8910995
Assault,1,1,2010,5,6,100 W 200 S ,40.7650126,-111.8939916
Burglary/ Larceny/ Robbery,1,1,2010,5,6,1400 W HARRIS AVE ,40.7348883,-111.9308936
Burglary/ Larceny/ Robbery,1,1,2010,5,6,200 N 2100 W ,40.7740677,-111.9502463
Damaged Property,1,1,2010,5,6,1100 W 700 S ,40.7541076,-111.9226014
Assault,1,1,2010,5,6,800 S 500 E ,40.7519538,-111.8767923
Assault,1,1,2010,5,6,800 S 300 E ,40.7518402,-111.8824953
Burglary/ Larceny/ Robbery,1,1,2010,5,6,300 N 1000 W ,40.7759842,-111.9192534
Assault,1,1,2010,5,6,200 S MAIN ST ,40.76502120000001,-111.8911299
Damaged Property,1,1,2010,5,6,400 N 1000 W ,40.7781638,-111.9194038
Drugs,1,1,2010,5,6,1700 S MAIN ST ,40.7334886,-111.8910995
Assault,1,1,2010,5,6,200 N 200 W ,40.7781149,-111.896592
Traffic,1,1,2010,5,6,1300 S MAIN ST ,40.7415981,-111.891078
Traffic,1,1,2010,5,6,1300 S 1100 E ,40.7416055,-111.85991609999998
